code,location,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,OB»AN… 2011-SPRAVEDL. PRO LIDI,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
558851,D˝öina,1349,860,853,114,0,0,48,0,52,41,10,5,16,1,2,119,0,3,45,269,5,34,0,3,2,1,80,3
558966,Chr·st,1429,1002,999,151,1,1,51,1,31,63,8,4,15,1,2,111,1,1,45,354,1,24,0,11,5,2,114,1
557846,Chv·lenice,561,369,369,50,3,0,21,0,13,21,7,7,7,1,1,52,0,0,38,104,0,8,0,3,2,0,29,2
559130,Kyöice,734,508,506,87,1,0,39,0,23,32,5,3,12,0,0,52,2,0,22,153,0,24,0,8,2,1,38,2
540561,Letkov,510,410,409,74,0,0,21,0,16,19,6,2,6,2,6,41,0,0,34,126,0,15,0,3,0,0,37,1
578606,Lh˘ta,144,114,114,16,0,0,9,0,8,13,4,1,2,0,2,6,0,0,4,31,0,1,0,3,0,0,13,1
558001,Losin·,1051,665,659,115,0,0,32,2,26,48,8,4,15,1,1,70,0,0,28,218,2,15,0,8,1,0,63,2
540641,Mokrouöe,191,139,138,19,1,0,14,0,7,12,2,1,1,0,0,15,0,0,7,36,0,5,0,2,2,1,13,0
553590,NezbavÏtice,181,135,135,17,0,0,11,0,2,13,0,1,2,0,0,10,0,0,1,48,0,2,0,5,1,2,20,0
558141,NezvÏstice,1156,770,767,72,0,0,85,1,33,56,10,3,7,2,4,77,0,0,41,270,3,28,0,5,1,0,68,1
554791,Star˝ Plzenec,131457,79300,78723,11331,146,70,5989,88,3076,5050,1209,445,1622,86,299,9186,52,63,5685,22347,157,2999,31,739,289,155,7365,244
558371,äù·hlavy,4038,2790,2758,387,10,5,181,5,163,160,38,19,41,3,9,281,2,4,195,798,4,85,0,26,15,4,315,8
558427,ätÏnovick˝ Borek,2096,1418,1414,199,3,2,129,3,103,78,26,13,32,2,9,128,0,1,88,430,3,32,0,11,11,1,104,6
539741,Tym·kov,436,313,313,58,2,1,27,1,21,15,4,4,7,2,0,24,2,0,20,74,1,8,0,0,4,3,34,1
